Iterations,Seconds,Score
10000,0,30.311739
20000,0,27.419045
30000,0,25.780748
40000,1,24.634010
50000,1,24.166194
60000,1,23.497059
70000,1,23.006736
80000,1,22.534118
90000,1,22.329526
100000,1,22.230478
110000,1,22.010570
120000,1,21.947144
130000,2,21.776468
140000,2,21.588330
150000,2,21.394487
160000,2,21.209827
170000,2,21.006861
180000,2,20.914045
190000,2,20.795713
200000,2,20.725470
210000,2,20.679470
220000,2,20.627109
230000,2,20.578955
240000,3,20.534585
250000,3,20.419316
260000,3,20.362167
270000,3,20.335145
280000,3,20.298811
290000,3,20.227509
300000,3,20.163366
310000,3,20.129593
320000,3,20.102874
330000,3,20.055955
340000,3,20.023381
350000,3,20.000855
360000,4,19.923614
370000,4,19.494290
380000,4,19.397101
390000,4,19.314293
400000,4,19.251339
410000,4,19.193705
420000,4,19.084098
430000,4,19.024476
440000,4,18.975307
450000,4,18.893786
460000,4,18.819838
470000,5,18.763861
480000,5,18.703709
490000,5,18.679217
500000,5,18.625891
510000,5,18.498191
520000,5,18.445315
530000,5,18.410154
540000,5,18.341908
550000,5,18.336647
560000,5,18.312534
570000,5,18.248514
580000,6,18.187552
590000,6,18.112580
600000,6,18.074651
610000,6,18.048778
620000,6,18.017384
630000,6,17.981897
640000,6,17.959512
650000,6,17.909106
660000,6,17.898464
670000,6,17.824620
680000,6,17.799937
690000,6,17.702436
700000,7,17.677928
710000,7,17.653452
720000,7,17.629990
730000,7,17.581861
740000,7,17.546101
750000,7,17.507598
760000,7,17.502062
770000,7,17.476446
780000,7,17.412008
790000,7,17.395218
800000,7,17.380458
810000,7,17.333892
820000,8,17.312717
830000,8,17.300246
840000,8,17.289009
850000,8,17.245341
860000,8,17.240511
870000,8,17.221515
880000,8,17.214450
890000,8,17.201468
900000,8,17.199118
910000,8,17.191126
920000,8,17.173323
930000,8,17.157860
940000,9,17.149355
950000,9,17.124678
960000,9,17.114522
970000,9,17.113503
980000,9,17.098516
990000,9,17.093228
1000000,9,17.084071
1010000,9,17.081360
1020000,9,17.080529
1030000,9,17.064445
1040000,9,17.060167
1050000,9,17.038118
1060000,9,16.993703
1070000,10,16.992922
1080000,10,16.980466
1090000,10,16.974852
1100000,10,16.960011
1110000,10,16.942931
1120000,10,16.937856
1130000,10,16.933795
1140000,10,16.927615
1150000,10,16.922983
1160000,10,16.912717
1170000,10,16.905184
1180000,10,16.902286
1190000,11,16.893146
1200000,11,16.889452
1210000,11,16.870836
1220000,11,16.867651
1230000,11,16.866634
1240000,11,16.846474
1250000,11,16.838527
1260000,11,16.822356
1270000,11,16.820317
1280000,11,16.819014
1290000,11,16.811766
1300000,11,16.811766
1310000,11,16.808240
1320000,12,16.808178
1330000,12,16.804914
1340000,12,16.794833
1350000,12,16.778745
1360000,12,16.773863
1370000,12,16.772175
1380000,12,16.764053
1390000,12,16.762037
1400000,12,16.753702
1410000,12,16.746009
1420000,12,16.735682
1430000,12,16.735682
1440000,12,16.707027
1450000,13,16.707027
1460000,13,16.688384
1470000,13,16.665247
1480000,13,16.624174
1490000,13,16.607320
1500000,13,16.605500
1510000,13,16.594301
1520000,13,16.590860
1530000,13,16.551845
1540000,13,16.551435
1550000,13,16.542738
1560000,13,16.532268
1570000,14,16.532062
1580000,14,16.529659
1590000,14,16.522115
1600000,14,16.520789
1610000,14,16.509062
1620000,14,16.506328
1630000,14,16.498827
1640000,14,16.485626
1650000,14,16.481796
1660000,14,16.480117
1670000,14,16.463205
1680000,14,16.463205
1690000,14,16.444012
1700000,15,16.432170
1710000,15,16.429365
1720000,15,16.429365
1730000,15,16.428147
1740000,15,16.423171
1750000,15,16.422161
1760000,15,16.418372
1770000,15,16.411634
1780000,15,16.411634
1790000,15,16.400280
1800000,15,16.398173
1810000,15,16.398173
1820000,15,16.393591
1830000,16,16.390318
1840000,16,16.383301
1850000,16,16.365809
1860000,16,16.362167
1870000,16,16.359447
1880000,16,16.354331
1890000,16,16.345950
1900000,16,16.344296
1910000,16,16.338946
1920000,16,16.336455
1930000,16,16.336455
1940000,16,16.329697
1950000,16,16.328985
1960000,17,16.328985
1970000,17,16.326666
1980000,17,16.314188
1990000,17,16.309482
2000000,17,16.295010
2010000,17,16.276827
2020000,17,16.266274
2030000,17,16.254421
2040000,17,16.241991
2050000,17,16.241991
2060000,17,16.210478
2070000,17,16.196526
2080000,18,16.150488
2090000,18,16.128308
2100000,18,16.118004
2110000,18,16.114147
2120000,18,16.113736
2130000,18,16.110926
2140000,18,16.110732
2150000,18,16.110732
2160000,18,16.109952
2170000,18,16.105946
2180000,18,16.096403
2190000,18,16.090806
2200000,18,16.079209
2210000,19,16.060810
2220000,19,16.047058
2230000,19,16.047058
2240000,19,16.045698
2250000,19,16.044780
2260000,19,16.025913
2270000,19,16.006787
2280000,19,16.006622
2290000,19,16.000582
2300000,19,15.999304
2310000,19,15.996673
2320000,19,15.985302
2330000,19,15.983760
2340000,20,15.979974
2350000,20,15.979338
2360000,20,15.972768
2370000,20,15.959662
2380000,20,15.938008
2390000,20,15.934814
2400000,20,15.931669
2410000,20,15.931669
2420000,20,15.921705
2430000,20,15.917646
2440000,20,15.917646
2450000,20,15.910660
2460000,21,15.903922
2470000,21,15.902247
2480000,21,15.900640
2490000,21,15.899816
2500000,21,15.899640
2510000,21,15.896806
2520000,21,15.896063
2530000,21,15.890323
2540000,21,15.890057
2550000,21,15.884648
2560000,21,15.869392
2570000,21,15.854987
2580000,21,15.853400
2590000,22,15.852496
2600000,22,15.846888
2610000,22,15.846888
2620000,22,15.845984
2630000,22,15.840645
2640000,22,15.836419
2650000,22,15.834402
2660000,22,15.834402
2670000,22,15.832936
2680000,22,15.832936
2690000,22,15.829623
2700000,22,15.828962
2710000,23,15.826977
2720000,23,15.824246
2730000,23,15.818197
2740000,23,15.818197
2750000,23,15.816030
2760000,23,15.805739
2770000,23,15.805574
2780000,23,15.805574
2790000,23,15.805574
2800000,23,15.802717
2810000,23,15.802717
2820000,24,15.797884
2830000,24,15.794759
2840000,24,15.794759
2850000,24,15.787572
2860000,24,15.780869
2870000,24,15.773348
2880000,24,15.767199
2890000,24,15.754911
2900000,24,15.735738
2910000,24,15.732434
2920000,24,15.731883
2930000,24,15.729345
2940000,24,15.726544
2950000,25,15.723576
2960000,25,15.718605
2970000,25,15.718605
2980000,25,15.714868
2990000,25,15.711781
3000000,25,15.711781
3010000,25,15.709850
3020000,25,15.709850
3030000,25,15.709850
3040000,25,15.708128
3050000,25,15.704838
3060000,25,15.702050
3070000,26,15.702050
3080000,26,15.702050
3090000,26,15.701007
3100000,26,15.680688
3110000,26,15.677236
3120000,26,15.677236
3130000,26,15.677236
3140000,26,15.671430
3150000,26,15.671430
3160000,26,15.666838
3170000,26,15.663978
3180000,26,15.663978
3190000,26,15.663978
3200000,27,15.663978
3210000,27,15.662234
3220000,27,15.656919
3230000,27,15.651285
3240000,27,15.649505
3250000,27,15.649505
3260000,27,15.646958
3270000,27,15.646958
3280000,27,15.645042
3290000,27,15.644693
3300000,27,15.643416
3310000,27,15.643416
3320000,28,15.643416
3330000,28,15.643416
3340000,28,15.641776
3350000,28,15.636531
3360000,28,15.630232
3370000,28,15.630232
3380000,28,15.619786
3390000,28,15.619621
3400000,28,15.619621
3410000,28,15.619621
