Iterations,Seconds,Score
30000,21,39.495391
40000,26,38.268398
50000,30,37.641155
60000,34,37.139636
70000,38,36.770377
80000,41,36.406597
90000,45,36.001986
100000,49,35.790977
110000,52,35.426007
120000,55,35.227469
130000,58,35.095451
140000,62,34.883133
150000,64,34.784809
160000,67,34.670507
170000,70,34.538049
180000,73,34.420971
190000,75,34.287323
200000,78,34.078967
210000,81,33.902933
220000,84,33.855654
230000,87,33.765502
240000,89,33.691290
250000,92,33.575810
260000,95,33.490294
270000,98,33.397067
290000,104,33.235582
300000,107,33.172603
310000,110,33.113586
320000,112,33.016740
340000,118,32.904544
350000,121,32.819310
360000,124,32.793481
370000,127,32.744122
380000,129,32.720335
390000,132,32.668517
400000,135,32.607736
410000,137,32.570722
420000,140,32.523471
430000,142,32.499588
450000,147,32.396962
460000,150,32.342857
470000,152,32.328197
480000,155,32.320022
490000,157,32.296007
500000,160,32.256648
510000,163,32.236231
520000,165,32.189783
530000,167,32.177751
550000,172,32.158238
560000,175,32.140836
570000,177,32.125081
580000,180,32.106093
590000,182,32.093224
600000,185,32.076816
610000,187,32.059726
620000,190,32.039875
630000,192,32.022663
640000,195,31.976375
650000,197,31.949064
660000,200,31.924893
670000,202,31.888055
680000,205,31.872388
690000,207,31.851654
700000,210,31.766854
710000,212,31.758630
720000,215,31.752133
730000,217,31.699055
740000,219,31.690804
750000,222,31.681058
760000,224,31.636589
770000,227,31.621792
780000,229,31.582486
790000,232,31.521550
800000,235,31.471795
810000,237,31.441091
820000,240,31.422898
830000,242,31.410275
840000,245,31.403327
850000,247,31.385441
860000,250,31.364139
870000,252,31.349058
880000,255,31.332580
890000,257,31.315338
900000,260,31.299657
910000,262,31.293168
920000,265,31.275036
930000,268,31.261629
940000,270,31.255500
950000,273,31.251963
960000,275,31.226036
970000,278,31.189016
980000,280,31.182045
990000,283,31.142617
1000000,285,31.134492
