Iterations,Seconds,Score
10000,1,31.138424
20000,1,28.667678
30000,1,27.002015
40000,1,26.353197
50000,1,25.771040
60000,1,25.291164
70000,1,25.021047
80000,1,24.704862
90000,1,24.326325
100000,2,23.993710
110000,2,23.819748
120000,2,23.624051
130000,2,23.530505
140000,2,23.435253
150000,2,23.279289
160000,2,23.195525
170000,2,23.097663
180000,2,23.057291
190000,2,22.923518
200000,2,22.774179
210000,2,22.650743
220000,2,22.534964
230000,3,22.478096
240000,3,22.368488
250000,3,22.245982
260000,3,22.209408
270000,3,22.136916
280000,3,22.082741
290000,3,21.950817
300000,3,21.882747
310000,3,21.834417
320000,3,21.770874
330000,3,21.741514
340000,3,21.696015
350000,3,21.669348
360000,4,21.633914
370000,4,21.460176
380000,4,21.418098
390000,4,21.399733
400000,4,21.346931
410000,4,21.331404
420000,4,21.317449
430000,4,21.292024
440000,4,21.222607
450000,4,21.180688
460000,4,21.172332
470000,4,21.121866
480000,4,21.102738
490000,4,21.081854
500000,5,21.053561
510000,5,21.009984
520000,5,20.970585
530000,5,20.916567
540000,5,20.712737
550000,5,20.675889
560000,5,20.643233
570000,5,20.632423
580000,5,20.601952
590000,5,20.569610
600000,5,20.541276
610000,5,20.526966
620000,5,20.502809
630000,5,20.469735
640000,6,20.430236
650000,6,20.381707
660000,6,20.378850
670000,6,20.377039
680000,6,20.351596
690000,6,20.348052
700000,6,20.326168
710000,6,20.245660
720000,6,20.237581
730000,6,20.234028
740000,6,20.225611
750000,6,20.218190
760000,6,20.196022
770000,6,20.191109
780000,6,20.180579
790000,7,20.167922
800000,7,20.166158
810000,7,20.159144
820000,7,20.135136
830000,7,20.120588
840000,7,20.114654
850000,7,20.097105
860000,7,20.093197
870000,7,20.093197
880000,7,20.063720
890000,7,20.060340
900000,7,20.043510
910000,7,20.037392
920000,7,20.018360
930000,7,19.968730
940000,8,19.950425
950000,8,19.945078
960000,8,19.901800
970000,8,19.898366
980000,8,19.889812
990000,8,19.860861
1000000,8,19.856176
1010000,8,19.841227
1020000,8,19.824337
1030000,8,19.820554
1040000,8,19.816050
1050000,8,19.793940
1060000,8,19.790759
1070000,8,19.779779
1080000,9,19.767239
1090000,9,19.762572
1100000,9,19.752171
1110000,9,19.704587
1120000,9,19.686316
1130000,9,19.675927
1140000,9,19.665430
1150000,9,19.659872
1160000,9,19.614418
1170000,9,19.607687
1180000,9,19.595359
1190000,9,19.583674
1200000,9,19.575625
1210000,9,19.557372
1220000,9,19.553371
1230000,10,19.550710
1240000,10,19.548377
1250000,10,19.547146
1260000,10,19.543748
1270000,10,19.521443
1280000,10,19.491662
1290000,10,19.435711
1300000,10,19.381743
1310000,10,19.326433
1320000,10,19.322728
1330000,10,19.311542
1340000,10,19.280265
1350000,10,19.253165
1360000,10,19.185991
1370000,11,19.125277
1380000,11,19.103597
1390000,11,19.100840
1400000,11,19.086067
1410000,11,19.062625
1420000,11,19.044520
1430000,11,19.001554
1440000,11,18.997200
1450000,11,18.991800
1460000,11,18.912216
1470000,11,18.906872
1480000,11,18.862993
1490000,11,18.835037
1500000,11,18.833520
1510000,12,18.820780
1520000,12,18.815508
1530000,12,18.814152
1540000,12,18.796772
1550000,12,18.785000
1560000,12,18.770919
1570000,12,18.768647
1580000,12,18.757951
1590000,12,18.751580
1600000,12,18.742051
1610000,12,18.738313
1620000,12,18.735537
1630000,12,18.725181
1640000,12,18.716690
1650000,12,18.716690
1660000,13,18.708240
1670000,13,18.707425
1680000,13,18.690489
1690000,13,18.682685
1700000,13,18.667479
1710000,13,18.667479
1720000,13,18.663552
1730000,13,18.659167
1740000,13,18.657873
1750000,13,18.657830
1760000,13,18.656451
1770000,13,18.649964
1780000,13,18.640979
1790000,13,18.625976
1800000,13,18.624226
1810000,14,18.552324
1820000,14,18.545178
1830000,14,18.529967
1840000,14,18.529967
1850000,14,18.528190
1860000,14,18.517924
1870000,14,18.494106
1880000,14,18.493119
1890000,14,18.493119
1900000,14,18.486748
1910000,14,18.481624
1920000,14,18.477501
1930000,14,18.475591
1940000,14,18.473162
1950000,15,18.468228
1960000,15,18.455818
1970000,15,18.454744
1980000,15,18.442150
1990000,15,18.439322
2000000,15,18.437393
2010000,15,18.436396
2020000,15,18.436396
2030000,15,18.435053
2040000,15,18.430811
2050000,15,18.423661
2060000,15,18.407322
2070000,15,18.401068
2080000,15,18.388105
2090000,15,18.388105
2100000,16,18.388053
2110000,16,18.382597
2120000,16,18.381080
2130000,16,18.378315
2140000,16,18.350275
2150000,16,18.345039
2160000,16,18.337531
2170000,16,18.326959
2180000,16,18.326959
2190000,16,18.326959
2200000,16,18.322415
2210000,16,18.301187
2220000,16,18.301187
2230000,16,18.298458
2240000,16,18.298458
2250000,17,18.298458
2260000,17,18.295425
2270000,17,18.290477
2280000,17,18.289687
2290000,17,18.289687
2300000,17,18.280417
2310000,17,18.280417
2320000,17,18.266507
2330000,17,18.264192
2340000,17,18.259017
2350000,17,18.259017
2360000,17,18.258712
2370000,17,18.241568
2380000,17,18.240949
2390000,18,18.240115
2400000,18,18.239134
2410000,18,18.239134
2420000,18,18.237334
2430000,18,18.232944
2440000,18,18.226104
2450000,18,18.223241
2460000,18,18.221235
2470000,18,18.217929
2480000,18,18.217929
2490000,18,18.183647
2500000,18,18.177942
2510000,18,18.165625
2520000,18,18.141326
2530000,18,18.141326
2540000,19,18.141021
2550000,19,18.138402
2560000,19,18.131602
2570000,19,18.128055
2580000,19,18.121073
2590000,19,18.116268
2600000,19,18.114078
2610000,19,18.109906
2620000,19,18.109577
2630000,19,18.101325
2640000,19,18.097640
2650000,19,18.097640
2660000,19,18.087769
2670000,19,18.086799
2680000,20,18.077962
2690000,20,18.077962
2700000,20,18.074930
2710000,20,18.072683
2720000,20,18.072538
2730000,20,18.064071
2740000,20,18.064071
2750000,20,18.062554
2760000,20,18.050725
2770000,20,18.050725
2780000,20,18.050725
2790000,20,18.043701
2800000,20,18.042378
2810000,20,18.035490
2820000,20,18.031546
2830000,21,18.031546
2840000,21,18.018389
2850000,21,18.009807
2860000,21,18.007846
2870000,21,18.007846
2880000,21,18.007730
2890000,21,18.007696
2900000,21,18.002801
2910000,21,17.998623
2920000,21,17.992288
2930000,21,17.989503
2940000,21,17.987158
2950000,21,17.986497
2960000,21,17.986497
2970000,22,17.980384
2980000,22,17.980384
2990000,22,17.960741
3000000,22,17.946174
3010000,22,17.946174
3020000,22,17.946174
3030000,22,17.945512
3040000,22,17.945512
3050000,22,17.945512
3060000,22,17.934679
3070000,22,17.929479
3080000,22,17.929479
3090000,22,17.924235
3100000,22,17.919189
3110000,22,17.902225
3120000,23,17.897656
3130000,23,17.896074
3140000,23,17.894522
3150000,23,17.892884
3160000,23,17.891635
3170000,23,17.891124
3180000,23,17.889607
3190000,23,17.880073
3200000,23,17.880073
3210000,23,17.875524
3220000,23,17.874890
3230000,23,17.874890
3240000,23,17.874890
3250000,23,17.874890
3260000,23,17.874778
3270000,24,17.874107
3280000,24,17.874107
3290000,24,17.866375
3300000,24,17.860796
3310000,24,17.855263
3320000,24,17.850671
3330000,24,17.850671
3340000,24,17.850671
3350000,24,17.845104
3360000,24,17.839824
3370000,24,17.835846
3380000,24,17.829889
3390000,24,17.829889
3400000,24,17.826677
3410000,25,17.826677
3420000,25,17.826677
3430000,25,17.826677
3440000,25,17.826677
3450000,25,17.826677
3460000,25,17.826677
3470000,25,17.826677
3480000,25,17.826677
3490000,25,17.824599
3500000,25,17.824599
3510000,25,17.820951
3520000,25,17.820951
3530000,25,17.819314
3540000,25,17.819314
3550000,25,17.816756
3560000,26,17.816756
3570000,26,17.811101
3580000,26,17.810436
3590000,26,17.810436
3600000,26,17.805440
3610000,26,17.799920
3620000,26,17.793996
3630000,26,17.792713
3640000,26,17.777400
3650000,26,17.776759
3660000,26,17.776759
3670000,26,17.773173
3680000,26,17.773173
3690000,26,17.770200
3700000,26,17.770078
3710000,27,17.769491
3720000,27,17.769491
3730000,27,17.768522
3740000,27,17.767508
3750000,27,17.767508
3760000,27,17.767508
3770000,27,17.766540
3780000,27,17.764962
3790000,27,17.764962
3800000,27,17.758164
3810000,27,17.757034
3820000,27,17.752380
3830000,27,17.752380
3840000,27,17.752380
3850000,27,17.752380
3860000,28,17.752380
3870000,28,17.752380
3880000,28,17.752380
3890000,28,17.748606
3900000,28,17.748606
3910000,28,17.748606
3920000,28,17.740721
3930000,28,17.740067
3940000,28,17.740067
3950000,28,17.738463
3960000,28,17.736969
3970000,28,17.736327
3980000,28,17.736327
3990000,28,17.732660
4000000,28,17.724592
4010000,29,17.723755
4020000,29,17.723507
4030000,29,17.713745
4040000,29,17.713745
4050000,29,17.709303
4060000,29,17.709303
4070000,29,17.709303
4080000,29,17.704672
4090000,29,17.698816
4100000,29,17.695221
4110000,29,17.691019
4120000,29,17.689071
4130000,29,17.688525
4140000,29,17.688042
4150000,30,17.687478
4160000,30,17.680523
4170000,30,17.680523
4180000,30,17.680523
4190000,30,17.680523
4200000,30,17.680523
4210000,30,17.680523
4220000,30,17.678844
4230000,30,17.675960
4240000,30,17.675960
4250000,30,17.675430
4260000,30,17.675430
4270000,30,17.661213
4280000,30,17.661213
4290000,30,17.661213
4300000,31,17.661213
4310000,31,17.661213
4320000,31,17.661213
4330000,31,17.661213
4340000,31,17.655686
4350000,31,17.647856
4360000,31,17.647856
4370000,31,17.647856
4380000,31,17.647856
4390000,31,17.647856
4400000,31,17.647856
4410000,31,17.637415
4420000,31,17.637415
4430000,31,17.636356
4440000,32,17.631742
4450000,32,17.629878
4460000,32,17.629878
4470000,32,17.629878
4480000,32,17.623077
4490000,32,17.623077
4500000,32,17.623077
4510000,32,17.623077
4520000,32,17.623077
4530000,32,17.623077
4540000,32,17.623077
4550000,32,17.623077
4560000,32,17.623077
4570000,32,17.623077
4580000,32,17.623077
4590000,33,17.622206
4600000,33,17.622206
4610000,33,17.620277
4620000,33,17.620277
4630000,33,17.620277
4640000,33,17.608977
4650000,33,17.607300
4660000,33,17.603608
4670000,33,17.603608
4680000,33,17.603608
4690000,33,17.601715
4700000,33,17.600446
4710000,33,17.593784
4720000,33,17.573458
4730000,34,17.573458
4740000,34,17.537592
4750000,34,17.537592
4760000,34,17.536076
