Iterations,Seconds,Score
10000,1,31.514904
20000,1,28.905670
30000,1,27.346056
40000,1,26.413621
50000,1,25.577599
60000,2,24.682278
70000,2,24.344918
80000,2,23.872670
90000,2,23.535559
100000,2,23.292689
110000,2,22.922578
120000,2,22.752937
130000,3,22.644184
140000,3,22.482271
150000,3,22.339130
160000,3,22.148202
170000,3,21.889832
180000,3,21.731677
190000,3,21.645436
200000,3,21.505435
210000,4,21.347385
220000,4,21.274508
230000,4,21.227126
240000,4,21.171871
250000,4,21.092928
260000,4,21.039719
270000,4,21.016606
280000,4,20.960004
290000,5,20.876180
300000,5,20.850736
310000,5,20.742644
320000,5,20.715200
330000,5,20.660743
340000,5,20.576294
350000,5,20.520113
360000,5,20.492089
370000,5,20.441793
380000,6,20.404352
390000,6,20.295901
400000,6,20.203828
410000,6,20.184697
420000,6,20.132221
430000,6,20.013583
440000,6,19.968052
450000,6,19.915321
460000,7,19.855981
470000,7,19.837348
480000,7,19.805243
490000,7,19.754475
500000,7,19.739893
510000,7,19.720203
520000,7,19.702577
530000,7,19.634722
540000,7,19.614288
550000,8,19.605030
560000,8,19.573185
570000,8,19.563463
580000,8,19.545803
590000,8,19.528089
600000,8,19.526784
610000,8,19.486226
620000,8,19.480308
630000,8,19.477881
640000,9,19.468445
650000,9,19.443195
660000,9,19.434845
670000,9,19.400045
680000,9,19.391847
690000,9,19.381696
700000,9,19.374908
710000,9,19.365668
720000,9,19.342987
730000,9,19.298740
740000,10,19.275761
750000,10,19.269196
760000,10,19.230540
770000,10,19.191399
780000,10,19.172833
790000,10,19.159505
800000,10,19.156969
810000,10,19.151610
820000,10,19.142244
830000,11,19.134077
840000,11,19.129153
850000,11,19.112457
860000,11,19.105509
870000,11,19.096091
880000,11,19.082539
890000,11,19.071933
900000,11,19.070642
910000,11,19.051061
920000,12,19.048502
930000,12,19.046326
940000,12,19.008162
950000,12,18.996503
960000,12,18.989727
970000,12,18.986204
980000,12,18.937283
990000,12,18.928336
1000000,12,18.923619
1010000,13,18.922649
1020000,13,18.911121
1030000,13,18.899485
1040000,13,18.883352
1050000,13,18.881212
1060000,13,18.880713
1070000,13,18.872025
1080000,13,18.850940
1090000,13,18.845427
1100000,13,18.821275
1110000,14,18.817488
1120000,14,18.810441
1130000,14,18.809455
1140000,14,18.801554
1150000,14,18.798476
1160000,14,18.785230
1170000,14,18.783556
1180000,14,18.779983
1190000,14,18.771763
1200000,15,18.744178
1210000,15,18.731214
1220000,15,18.729105
1230000,15,18.714002
1240000,15,18.704470
1250000,15,18.704184
1260000,15,18.666408
1270000,15,18.650255
1280000,16,18.646985
1290000,16,18.635376
1300000,16,18.627059
1310000,16,18.616556
1320000,16,18.613968
1330000,16,18.584583
1340000,16,18.554972
1350000,16,18.529426
1360000,16,18.529208
1370000,17,18.510788
1380000,17,18.504882
1390000,17,18.477565
1400000,17,18.468802
1410000,17,18.465567
1420000,17,18.465567
1430000,17,18.458979
1440000,17,18.454920
1450000,17,18.454318
1460000,18,18.454318
1470000,18,18.447072
1480000,18,18.439647
1490000,18,18.425882
1500000,18,18.423279
1510000,18,18.400987
1520000,18,18.399814
1530000,18,18.384301
1540000,18,18.380523
1550000,19,18.379705
1560000,19,18.377033
1570000,19,18.375061
1580000,19,18.364994
1590000,19,18.344160
1600000,19,18.341540
1610000,19,18.339559
1620000,19,18.321935
1630000,20,18.315681
1640000,20,18.313344
1650000,20,18.309395
1660000,20,18.308032
1670000,20,18.306053
1680000,20,18.303392
1690000,20,18.295109
1700000,20,18.286837
1710000,21,18.277261
1720000,21,18.272594
1730000,21,18.266395
1740000,21,18.262786
1750000,21,18.252064
1760000,21,18.249436
1770000,21,18.246459
1780000,21,18.228880
1790000,21,18.218436
1800000,22,18.208509
1810000,22,18.192882
1820000,22,18.175083
1830000,22,18.167841
1840000,22,18.161220
1850000,22,18.148794
1860000,22,18.143437
1870000,22,18.140301
1880000,22,18.137348
1890000,23,18.137348
1900000,23,18.135224
1910000,23,18.117537
1920000,23,18.106263
1930000,23,18.106263
1940000,23,18.105220
1950000,23,18.103703
1960000,23,18.102388
1970000,23,18.101784
1980000,24,18.088753
1990000,24,18.087122
2000000,24,18.082991
2010000,24,18.073606
2020000,24,18.068141
2030000,24,18.065526
2040000,24,18.035273
2050000,24,18.033553
2060000,25,18.024075
2070000,25,18.024075
2080000,25,18.024075
2090000,25,18.010497
2100000,25,18.002872
2110000,25,18.002872
2120000,25,18.000987
2130000,25,17.989915
2140000,26,17.986927
2150000,26,17.986247
2160000,26,17.984476
2170000,26,17.975685
2180000,26,17.938398
2190000,26,17.938393
2200000,26,17.932204
2210000,26,17.916350
2220000,27,17.907092
2230000,27,17.893875
2240000,27,17.893875
2250000,27,17.886101
2260000,27,17.885982
2270000,27,17.879549
2280000,27,17.875090
2290000,28,17.870237
2300000,28,17.853505
2310000,28,17.838033
2320000,28,17.836981
2330000,28,17.833448
2340000,28,17.829997
2350000,28,17.829997
2360000,28,17.824982
2370000,29,17.823970
2380000,29,17.820400
2390000,29,17.811614
2400000,29,17.797941
2410000,29,17.797941
2420000,29,17.794567
2430000,29,17.789024
2440000,29,17.788584
2450000,30,17.788255
2460000,30,17.778364
2470000,30,17.777304
2480000,30,17.769589
2490000,30,17.769589
2500000,30,17.768072
2510000,30,17.760355
2520000,30,17.752845
2530000,31,17.747858
2540000,31,17.745200
2550000,31,17.745200
2560000,31,17.740130
2570000,31,17.738894
2580000,31,17.733912
2590000,31,17.723702
2600000,31,17.721674
2610000,31,17.715576
2620000,32,17.715222
2630000,32,17.715222
2640000,32,17.683930
2650000,32,17.677968
2660000,32,17.674523
2670000,32,17.665271
2680000,32,17.662484
2690000,32,17.641523
2700000,33,17.640007
2710000,33,17.639403
2720000,33,17.635573
2730000,33,17.634359
2740000,33,17.631192
2750000,33,17.618150
2760000,33,17.595225
2770000,33,17.593727
2780000,33,17.593727
2790000,33,17.578732
2800000,34,17.576507
2810000,34,17.576507
2820000,34,17.574064
2830000,34,17.571127
2840000,34,17.571127
2850000,34,17.569142
2860000,34,17.568775
2870000,34,17.568775
2880000,34,17.568775
2890000,35,17.552545
2900000,35,17.551648
2910000,35,17.551648
2920000,35,17.549001
2930000,35,17.545221
2940000,35,17.544601
2950000,35,17.541476
2960000,35,17.539613
2970000,35,17.528667
2980000,36,17.493005
2990000,36,17.473970
3000000,36,17.473970
3010000,36,17.447132
3020000,36,17.447132
3030000,36,17.443748
3040000,36,17.443748
3050000,36,17.441726
3060000,37,17.438349
3070000,37,17.435644
3080000,37,17.426001
3090000,37,17.425052
3100000,37,17.425052
3110000,37,17.419276
3120000,37,17.419276
3130000,37,17.409615
3140000,37,17.407575
3150000,38,17.404012
3160000,38,17.404012
3170000,38,17.399859
3180000,38,17.399859
