Iterations,Seconds,Score
10000,1,31.933178
20000,1,28.432493
30000,1,26.885176
40000,1,25.776471
50000,1,25.106884
60000,1,24.563201
70000,1,24.239036
80000,1,23.874420
90000,1,23.602764
100000,2,23.385653
110000,2,23.233444
120000,2,23.057367
130000,2,22.939250
140000,2,22.801858
150000,2,22.741299
160000,2,22.592561
170000,2,22.532096
180000,2,22.381480
190000,2,22.189033
200000,2,22.028033
210000,3,21.907683
220000,3,21.767946
230000,3,21.702030
240000,3,21.621861
250000,3,21.554694
260000,3,21.497593
270000,3,21.301825
280000,3,21.242161
290000,3,21.156073
300000,3,21.039224
310000,3,20.967400
320000,3,20.917709
330000,4,20.772486
340000,4,20.708019
350000,4,20.639633
360000,4,20.573216
370000,4,20.514994
380000,4,20.458220
390000,4,20.391424
400000,4,20.325365
410000,4,20.283813
420000,4,20.236784
430000,4,20.190041
440000,4,20.158479
450000,5,20.124427
460000,5,20.058388
470000,5,19.985290
480000,5,19.933598
490000,5,19.887146
500000,5,19.851807
510000,5,19.816811
520000,5,19.735776
530000,5,19.682228
540000,5,19.621472
550000,5,19.612547
560000,5,19.601422
570000,5,19.569449
580000,6,19.546602
590000,6,19.536963
600000,6,19.508612
610000,6,19.481429
620000,6,19.473420
630000,6,19.464483
640000,6,19.447269
650000,6,19.426444
660000,6,19.381839
670000,6,19.363169
680000,6,19.336025
690000,6,19.315267
700000,6,19.298529
710000,7,19.274532
720000,7,19.247696
730000,7,19.236475
740000,7,19.178183
750000,7,19.163248
760000,7,19.141881
770000,7,19.126605
780000,7,19.110711
790000,7,19.088171
800000,7,19.072856
810000,7,19.066648
820000,7,19.059032
830000,7,19.055639
840000,8,19.030487
850000,8,19.018831
860000,8,19.003774
870000,8,18.988760
880000,8,18.967763
890000,8,18.958726
900000,8,18.937493
910000,8,18.862148
920000,8,18.790699
930000,8,18.769473
940000,8,18.751090
950000,8,18.748567
960000,8,18.704833
970000,8,18.666382
980000,9,18.643125
990000,9,18.633012
1000000,9,18.629569
1010000,9,18.622517
1020000,9,18.602941
1030000,9,18.592297
1040000,9,18.581335
1050000,9,18.569825
1060000,9,18.567803
1070000,9,18.553855
1080000,9,18.547542
1090000,9,18.501840
1100000,9,18.495382
1110000,9,18.481111
1120000,10,18.446906
1130000,10,18.434999
1140000,10,18.428130
1150000,10,18.427348
1160000,10,18.405643
1170000,10,18.384182
1180000,10,18.367333
1190000,10,18.354302
1200000,10,18.340077
1210000,10,18.332615
1220000,10,18.296654
1230000,10,18.288986
1240000,10,18.271922
1250000,11,18.269554
1260000,11,18.242967
1270000,11,18.220400
1280000,11,18.189391
1290000,11,18.185210
1300000,11,18.170303
1310000,11,18.160665
1320000,11,18.152583
1330000,11,18.117563
1340000,11,18.102066
1350000,11,18.095715
1360000,11,18.081787
1370000,11,18.079083
1380000,11,18.076441
1390000,12,18.073771
1400000,12,18.047253
1410000,12,18.043457
1420000,12,18.038163
1430000,12,18.028993
1440000,12,18.026972
1450000,12,18.022200
1460000,12,18.004367
1470000,12,17.984409
1480000,12,17.980598
1490000,12,17.972038
1500000,12,17.965358
1510000,12,17.963463
1520000,12,17.953246
1530000,13,17.949398
1540000,13,17.944292
1550000,13,17.925786
1560000,13,17.915513
1570000,13,17.915036
1580000,13,17.911013
1590000,13,17.909003
1600000,13,17.909003
1610000,13,17.900226
1620000,13,17.897735
1630000,13,17.880428
1640000,13,17.867548
1650000,13,17.867548
1660000,13,17.860919
1670000,13,17.842523
1680000,14,17.838772
1690000,14,17.828982
1700000,14,17.819925
1710000,14,17.819890
1720000,14,17.804842
1730000,14,17.796416
1740000,14,17.791666
1750000,14,17.773809
1760000,14,17.771817
1770000,14,17.761967
1780000,14,17.761649
1790000,14,17.753107
1800000,14,17.749816
1810000,15,17.744448
1820000,15,17.739546
1830000,15,17.739546
1840000,15,17.724508
1850000,15,17.719115
1860000,15,17.712601
1870000,15,17.705359
1880000,15,17.694650
1890000,15,17.694511
1900000,15,17.693260
1910000,15,17.691894
1920000,15,17.691729
1930000,15,17.685790
1940000,15,17.685647
1950000,15,17.677192
1960000,16,17.668181
1970000,16,17.666191
1980000,16,17.666191
1990000,16,17.666191
2000000,16,17.664954
2010000,16,17.664396
2020000,16,17.663706
2030000,16,17.654958
2040000,16,17.653378
2050000,16,17.652660
2060000,16,17.651307
2070000,16,17.651307
2080000,16,17.626392
2090000,16,17.625851
2100000,17,17.623294
2110000,17,17.611703
2120000,17,17.600911
2130000,17,17.599588
2140000,17,17.599125
2150000,17,17.594984
2160000,17,17.589626
2170000,17,17.577529
2180000,17,17.572766
2190000,17,17.569180
2200000,17,17.569168
2210000,17,17.561069
2220000,17,17.559948
2230000,17,17.559445
2240000,18,17.555717
2250000,18,17.551936
2260000,18,17.551213
2270000,18,17.549832
2280000,18,17.549832
2290000,18,17.524830
2300000,18,17.524830
2310000,18,17.523802
2320000,18,17.523140
2330000,18,17.523140
2340000,18,17.519171
2350000,18,17.514443
2360000,18,17.505032
2370000,18,17.505032
2380000,18,17.448635
2390000,19,17.440818
2400000,19,17.438172
2410000,19,17.436172
2420000,19,17.429197
2430000,19,17.421083
2440000,19,17.415381
2450000,19,17.380816
2460000,19,17.343410
2470000,19,17.343410
2480000,19,17.341887
2490000,19,17.341887
2500000,19,17.338630
2510000,19,17.336374
2520000,19,17.326838
