Iterations,Seconds,Score
10000,0,32.019717
20000,1,28.648780
30000,1,27.124190
40000,1,26.124460
50000,1,25.445124
60000,1,25.089938
70000,1,24.614291
80000,2,24.145454
90000,2,23.976692
100000,2,23.714994
110000,2,23.548189
120000,2,23.277693
130000,2,23.063608
140000,2,22.849960
150000,2,22.737144
160000,2,22.637921
170000,3,22.556969
180000,3,22.406089
190000,3,22.299843
200000,3,22.239094
210000,3,22.187379
220000,3,22.075584
230000,3,22.020617
240000,3,21.948164
250000,3,21.857915
260000,3,21.770870
270000,4,21.632944
280000,4,21.581854
290000,4,21.470621
300000,4,21.435555
310000,4,21.372021
320000,4,21.295527
330000,4,21.270154
340000,4,21.144663
350000,4,21.078783
360000,4,21.039747
370000,4,20.995762
380000,5,20.935816
390000,5,20.888528
400000,5,20.864812
410000,5,20.818690
420000,5,20.791393
430000,5,20.763407
440000,5,20.749839
450000,5,20.723194
460000,5,20.688348
470000,5,20.607203
480000,6,20.569912
490000,6,20.565242
500000,6,20.552998
510000,6,20.523384
520000,6,20.415439
530000,6,20.380153
540000,6,20.369052
550000,6,20.297448
560000,6,20.281492
570000,6,20.219271
580000,7,20.116825
590000,7,20.037430
600000,7,19.989522
610000,7,19.936797
620000,7,19.910143
630000,7,19.854833
640000,7,19.820218
650000,7,19.803703
660000,7,19.796092
670000,7,19.791565
680000,8,19.776453
690000,8,19.726504
700000,8,19.723451
710000,8,19.709841
720000,8,19.664620
730000,8,19.629891
740000,8,19.618047
750000,8,19.598231
760000,8,19.590432
770000,8,19.590432
780000,8,19.578984
790000,9,19.572500
800000,9,19.547873
810000,9,19.526050
820000,9,19.518401
830000,9,19.504143
840000,9,19.428956
850000,9,19.400065
860000,9,19.390840
870000,9,19.370097
880000,9,19.354652
890000,10,19.351169
900000,10,19.346188
910000,10,19.323176
920000,10,19.299179
930000,10,19.290988
940000,10,19.288451
950000,10,19.281510
960000,10,19.261651
970000,10,19.258871
980000,10,19.250737
990000,10,19.246913
1000000,11,19.238754
1010000,11,19.219158
1020000,11,19.212932
1030000,11,19.212932
1040000,11,19.201430
1050000,11,19.161336
1060000,11,19.105637
1070000,11,19.098840
1080000,11,19.093938
1090000,11,19.088884
1100000,11,19.057260
1110000,12,19.046373
1120000,12,19.006400
1130000,12,18.969957
1140000,12,18.958385
1150000,12,18.947211
1160000,12,18.932636
1170000,12,18.932217
1180000,12,18.928965
1190000,12,18.894200
1200000,12,18.865726
1210000,13,18.844912
1220000,13,18.842751
1230000,13,18.842751
1240000,13,18.818419
1250000,13,18.807506
1260000,13,18.807506
1270000,13,18.789747
1280000,13,18.708952
1290000,13,18.672039
1300000,13,18.659530
1310000,14,18.604772
1320000,14,18.572041
1330000,14,18.569355
1340000,14,18.569355
1350000,14,18.559310
